chapter	pdf_pages	section	source_kind	material_type	german	canonical_german	editorial_decision	editorial_note	editorial_references	decision	existing_deck_ids	existing_source_texts	proposed_target_deck_id	review_flags	source_note
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Woher?	Woher?	NOT_STANDALONE_CARD	Kata tanya tanpa konteks tidak layak menjadi kartu kalimat; dapat dipertahankan sebagai kosakata bila deck kata membutuhkannya.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Was?	Was?	NOT_STANDALONE_CARD	Kata tanya tanpa konteks tidak layak menjadi kartu kalimat; dapat dipertahankan sebagai kosakata bila deck kata membutuhkannya.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wohnst du in …?	Wohnst du in …?	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Kommst du aus …?	Kommst du aus …?	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Zahlen 0–20	Lernwortschatz	word	null	null	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	eins	eins	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwei	zwei	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	drei	drei	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vier	vier	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünf	fünf	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sechs	sechs	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sieben	sieben	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	acht	acht	ADD_FROM_CONTEXT	Pertahankan untuk melengkapi urutan 0–20; tidak tampak pada ekstraksi daftar tetapi jelas termasuk lingkup angka A1.	Goethe A1 Wortliste: Zahlen	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neun	neun	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zehn	zehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	elf	elf	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwölf	zwölf	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	dreizehn	dreizehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	vierzehn	vierzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	fünfzehn	fünfzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	sechzehn	sechzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	siebzehn	siebzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	achtzehn	achtzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	neunzehn	neunzehn	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Zahlen 0–20	Lernwortschatz	word	zwanzig	zwanzig	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie	NEEDS_EDITORIAL_REVIEW	acht tidak tercetak pada daftar hasil ekstraksi; dicatat karena urutan 0–20 dan materi bab memuatnya
1	17	Sprachen	Lernwortschatz	word	Deutsch	Deutsch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Englisch	Englisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Indonesisch	Indonesisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Arabisch	Arabisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Italienisch	Italienisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Chinesisch	Chinesisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Sprachen	Lernwortschatz	word	Türkisch	Türkisch	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Hallo!	Hallo!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Tag!	Guten Tag!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Morgen!	Guten Morgen!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Guten Abend!	Guten Abend!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Tschüss!	Tschüss!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Auf Wiedersehen!	Auf Wiedersehen!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Gute Nacht!	Gute Nacht!	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata		
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wer bist du?	Wer bist du?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich bin …	Ich bin …	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	REPEATED_IN_BOOK|PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Wie heißt du?	Wie heißt du?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Grüßen und sich vorstellen	Redemittel	sentence	Ich heiße …	Ich heiße …	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnen Sie?	Wo wohnen Sie?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wo wohnst du?	Wo wohnst du?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich wohne in …	Ich wohne in …	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommen Sie?	Woher kommen Sie?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Woher kommst du?	Woher kommst du?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich komme aus …	Ich komme aus …	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprechen Sie?	Welche Sprachen sprechen Sie?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Welche Sprachen sprichst du?	Welche Sprachen sprichst du?	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-kalimat-nyata	Welche Sprachen sprichst du?	de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Ich spreche …	Ich spreche …	KEEP_AS_PATTERN_ONLY	Berguna sebagai pola Redemittel, tetapi jangan dimasukkan sebagai kartu final sebelum placeholder diisi dengan contoh natural.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre Telefonnummer?	Wie ist Ihre Telefonnummer?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine Telefonnummer?	Wie ist deine Telefonnummer?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist Ihre E-Mail-Adresse?	Wie ist Ihre E-Mail-Adresse?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wie ist deine E-Mail-Adresse?	Wie ist deine E-Mail-Adresse?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	18	Herkunft und Angaben	Redemittel	sentence	Wer ist das?	Wer ist das?	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
